,Bloom Color,Soil Composition,Bloom Time,Soil Moisture,Chill Hours,Soil pH Level,Fruit Color,Taste,Fruit Size,Texture,Ripens/Harvest,Years to Bear,Shade/Sun,Zone Range,Pollination
stark-ultra-spire-apple,White,Loamy,Mid,Well Drained,800 - 1200,6.0 - 7.0,Red,"Sweet, Tart",Medium,"Crisp, Juicy",September,2 - 5,Full Sun,4 - 8,
summer-rambo-apple,White,Loamy,Early,Well Drained,,6.0 - 7.0,Red,,Large,"Crisp, Firm",August,2 - 5,Full Sun,4 - 8,
wealthy-apple,White,Loamy,Mid - Late,Well Drained,,6.0 - 7.0,Yellow,,Medium,Crisp/juicy,September,2 - 5,Full Sun,4 - 8,
whitney-crabapple,"Pink, White",Loamy,Mid - Late,Well Drained,800,6.0 - 7.0,Red,Sweet,Large,"Juicy, Firm",Late August/early September,2 - 5,,3 - 9,Self-Pollinating
wiltons-red-jonaprince-apple,"Pink, White",Loamy,,Well Drained,,6.0 - 7.0,Red,"Sweet, Tart",Large,"Firm, Juicy",September,2 - 5,Full Sun,4 - 8,
winecrisp-apple,"Pink, White",Loamy,Mid,Well Drained,,6.0 - 7.0,Red,"Mild, Subacid",Medium,"Firm, Crisp, Juicy",October,2 - 5,Full Sun,4 - 8,
wolf-river-apple,White,Loamy,Early,Well Drained,1000,6.0 - 7.0,Red,Tart,Large,Tender,Late September,2 - 5,Full Sun,3 - 8,
yellow-transparent-apple,White,Loamy,Early,Well Drained,800 - 1000,6.0 - 7.0,Yellow,Sweet,Medium - Large,Crisp Flesh,July To August,2 - 5,Full Sun,3 - 8,
york-imperial-apple,"Pink, White",Loamy,Late,Well Drained,,6.0 - 7.0,Red,"Sweet, Tangy",Medium - Large,"Crisp, Firm",October,2 - 5,Full Sun,4 - 8,
zestar-apple,White,Loamy,Mid,Well Drained,800,6.0 - 7.0,Red,"Sweet, Tart",Medium - Large,Firm,Early-mid August,2 - 5,Full Sun,4 - 8,
starkspur-winter-banana-antique-apple,,Loamy,Mid,Well Drained,400,6.0 - 7.0,Yellow,Tangy,Large,"Firm, Crisp",Late October,2 - 5,Full Sun,4 - 9,
